Cabinet Member,2020 - Present Cabinet Role,Primary (Incomplete),Secondary,Tertiary,Bachelor's Degree,Master's Degree,Doctorate Degree,All Degrees,Subject of Study (Verbatim),Subject (Category),Number of Degrees,Uni Countries,Scholarships Received (Incomplete),Source,,,,,,,,,,,,,,
Koh Poh Koon,Senior Minister of State: Health,MacRitchie Primary School,Maris Stella High School,Hwa Chong Junior College,"National University of Singapore (Medicine, Surgery)",National University of Singapore (Surgery),,"National University of Singapore (Medicine, Surgery)National University of Singapore (Surgery)","Medicine, Surgery",Medicine,2,SG,Health Manpower Development Programme Scholarship (Ministry of Health),https://web.archive.org/web/20160109145605/http://www.parliament.gov.sg/sites/default/files/cv/Parliament%20CV2_Dr%20Koh%20Poh%20Koon.pdf,,,,,,,,,,,,,,
Chee Hong Tat,Senior Minister of State: Foreign Affairs; Transport,,Raffles Institution,Raffles Junior College,"University of California, Berkeley (Electrical Engineering, Computer Sciences); University of California, Berkely (Economics)",University of Adelaide (Business Administration),,"University of California, Berkeley (Electrical Engineering, Computer Sciences); University of California, Berkely (Economics)University of Adelaide (Business Administration)","Electrical Engineering, Computer Sciences, Economics, Business Administration",Engineering; Computer Science; Economics; Business Administration,3,"US, AU",,https://www.mfa.gov.sg/About-MFA/Organisation-Chart/Chee-Hong-Tat; https://www.tnp.sg/news/singapore/new-pap-candidates-small-brother-wants-pay-it-back,,,,,,,,,,,,,,
Heng Chee How,Senior Minister of State: Defence,Birkhall primary School,Raffles Institution,Raffles Institution,University of Cambridge (Economics),Harvard Kennedy School of Government (Public Administration),,University of Cambridge (Economics)Harvard Kennedy School of Government (Public Administration),"Economics, Public Administration",Economics; Public Administration,2,"UK, US",Singapore Police Force Overseas Scholarship,https://www.mindef.gov.sg/web/portal/mindef/about-us/leadership-biographies/biographies-detail/political-office-holders/02-minister; https://www.sma.org.sg/sma_news/3808/Feature.pdf; http://huaas.clubs.harvard.edu/article.html?aid=167; https://web.archive.org/web/20150320222703/http://www.parliament.gov.sg/mp/heng-chee-how?viewcv=Heng%20Chee%20How,,,,,,,,,,,,,,
Amy Khor,Senior Minister of State: Transport; Sustainability & the Environment,Alexandra Hill Primary School,Raffles Girls' Secondary School,Raffles Institution,National University of Singapore (Estate Management),San Jose State University (Business Administration),University of Reading (Land Management),National University of Singapore (Estate Management)San Jose State University (Business Administration)University of Reading (Land Management),"Estate Management, Business Administration, Land Management",Business Administration; Land Management,3,"SG, US, UK",Tan Lian Boh Scholarship,https://web.archive.org/web/20140602114534/http://www.parliament.gov.sg/mp/amy-khor-lean-suan?viewcv=Amy%20Khor%20Lean%20Suan,,,,,,,,,,,,,,
Janil Puthucheary,Senior Minister of State: Health; Communications & Information,"Studied abroad (KL, Malaysia)",Studied abroad (UK),Studied abroad (UK),"Queens University of Belfast (Medicine, Surgery)",Royal College of Physicians (Medicine),,"Queens University of Belfast (Medicine, Surgery)Royal College of Physicians (Medicine)","Medicine, Surgery",Medicine,2,UK,,https://web.archive.org/web/20150724121755/http://www.parliament.gov.sg/mp/janil-puthucheary?viewcv=Janil,,,,,,,,,,,,,,
Sim Ann,Senior Minister of State: National Development; Communications & Information,,Raffles Girls' School,Hwa Chong Junior College,"University of Oxford (Philosophy, Politics and Economics / PPE)","Stanford University (Political Science), Nanyang Technological University (Postgraduate Diploma)*",,"University of Oxford (Philosophy, Politics and Economics / PPE)Stanford University (Political Science), Nanyang Technological University (Postgraduate Diploma)*","PPE, Political Science","Political Science, PPE",2,"UK, US",President's Scholarship,https://web.archive.org/web/20150924085730/http://www.parliament.gov.sg/mp/sim-ann?viewcv=Sim%20Ann; https://www.nas.gov.sg/archivesonline/photographs/record-details/12be65a2-1162-11e3-83d5-0050568939ad,,,,,,,,,,,,,,
Zaqy Mohamad,Senior Minister of State: Manpower; Defence,Saint Michael's School,Raffles Institution,Raffles Junior College,Nanyang Technological University (Electronic and Electrical Engineering),Nanyang Technological University / Carnegie Mellon University (Financial Engineering),,Nanyang Technological University (Electronic and Electrical Engineering)Nanyang Technological University / Carnegie Mellon University (Financial Engineering),"Electronic and Electrical Engineering, Financial Engineering",Engineering,2,"SG, US",,https://web.archive.org/web/20170810212916/http://160.96.186.107/sites/default/files/cv/Parliament%20CV_Mr%20Zaqy%20Mohamad.pdf,,,,,,,,,,,,,,
Low Yen Ling,"Minister of State: Culture, Community & Youth; Trade & Industry",Canossa Convent Primary School,Dunman High School,Temasek Junior College,Nanyang Technological University (Business Studies),,,Nanyang Technological University (Business Studies),Business Studies,Business* (the only Business degree that is not also a MBA),1,SG,,https://web.archive.org/web/20131113143957/http://app.msf.gov.sg/AboutMSF/OurPeople/ParliamentarySecretary.aspx ,,,,,,,,,,,,,,
Muhammad Faisal Ibrahim,Minister of State: Home Affairs; National Development,"Telok Kurau East Primary School, Bedok South Primary School",Bedok View Secondary School,Nanyang Junior College,National University of Singapore (Real Estate Management),National University of Singapore (Real Estate),Manchester Institute of Science and Technology (Management Sciences),National University of Singapore (Real Estate Management)National University of Singapore (Real Estate)Manchester Institute of Science and Technology (Management Sciences),"Real Estate Management, Real Estate, Management Sciences",Real Estate; Management Sciences,3,"SG, UK",NUS-Overseas Graduate Scholarship,https://web.archive.org/web/20141216045225/http://www.parliament.gov.sg/mp/muhammad-faishal-ibrahim?viewcv=Muhammad%20Faishal%20Ibrahim; https://www.parliament.gov.sg/docs/default-source/CV/parliament-cv2_assoc-prof-muhammad-faishal-ibrahim.pdf; ,,,,,,,,,,,,,,
Sun Xueling,Minister of State: Education; Social & Family Development,,CHIJ St Nicholas Girls' School,Raffles Junior College,National University of Singapore (Economics),London School of Economics and Political Science (International Political Economy),,National University of Singapore (Economics)London School of Economics and Political Science (International Political Economy),"Economics, International Political Economy",Economics,2,"SG, UK",,https://www.parliament.gov.sg/docs/default-source/default-document-library/cv-mos-sun-xueling_english-(11-aug-2020)28ae28dbcb5f64e2b198ff00006af031.pdf; https://www.straitstimes.com/singapore/a-familiar-face-in-smc-she-connects-offline-and-online; https://www.iconsingapore.com/lifestyle/business-china-ceo-sun-xueling-relishes-role-bridge-builder-singapore-china,,,,,,,,,,,,,,
